id,umbilicus,lm,slm1,slm2,fl50
3902_nova,0,0,0,1,?
4360_mitc,0,1,0,1,1
4361_mitc,0,1,0,1,1
4362_mitc,0,1,0,1,1
4363_mitc,0,1,0,1,1
4364_mitc,0,1,0,0,1
4365_mitc,0,1,0,1,1
4366_mitc,0,1,0,1,1
4367_mitc,?,?,?,?,1
4368_mitc,0,1,0,1,?
4369_mitc,0,1,0,1,?
4370_nova,0,?,?,?,1
4371_nova,0,0,0,1,1
4372_nova,?,?,?,?,?
4373_nova,?,?,?,?,?
4374_nova,0,0,0,1,1
4375_nova,0,?,?,?,1
4376_sp_Coola,1,0,0,0,1
4377_sp_MtKap,1,0,0,1,1
4378_nova,0,0,0,0,1
4379_nova,1,0,1,0,1
4380_sp_MtKap,1,0,0,1,1
4381_rich,0,1,1,0,0
4382_nova,0,0,0,1,1
4383_nova,0,0,0,1,1
4384_nova,0,0,0,1,?
4385_nova,0,0,0,1,1
4387_nova,0,0,0,1,?
4388_nova,0,0,0,1,1
4389_nova,0,0,0,1,1
4390_nova,0,0,0,1,?
4391_nova,0,0,0,1,?
4392_nova,0,0,0,0,0
4393_nova,0,0,0,1,?
4394_nova,?,?,?,?,?
4395_nova,0,0,0,1,1
4397_nova,0,0,0,1,?
4398_nova,?,?,?,?,?
4399_nova,?,?,?,?,?
4400_nova,?,?,?,?,?
4401_nova,?,?,?,?,?
4749_nova,0,0,0,0,1
4750_nova,0,0,0,1,?
4751_nova,0,0,0,1,1
4752_nova,0,0,0,1,1
4753_nova,0,0,0,1,1
4754_nova,0,0,0,1,1
4755_nova,0,0,0,1,1
4756_nova,0,0,0,1,1
4827_nova,0,1,0,0,1
4828_nova,0,0,0,1,1
4829_nova,0,1,0,0,1
4853_sp_MtKap,1,0,0,1,1
4854_sp_MtKap,1,0,0,1,1
4855_nova,0,0,0,0,1
4856_nova,0,0,0,0,1
4857_nova,0,0,0,0,1
4858_nova,0,0,0,0,1
4859_nova,0,0,0,1,1
4860_nova,0,1,0,1,1
4861_sp_MtBoss,0,0,0,1,1
4862_sp_MtBoss,0,0,0,1,1
4863_nova,0,1,0,0,?
4864_nova,0,1,0,1,1
4868_sp_MtKap,1,0,0,0,1
4872_darl,0,1,0,0,1
4873_darl,0,1,0,0,1
4874_darl,0,1,0,0,1
4876_rich,0,1,1,1,0
4880_sp_Gibr,0,1,0,0,1
4881_sp_Gibr,0,1,0,0,1
4884_sp_Gibr,0,1,0,0,1
4886_rich,0,1,1,0,0
